match_id,inning,team,total_score,venue,season,bowling_team,powerplay_score,death_score,avg_total_score,avg_powerplay_score,avg_death_overs_score,recent_form_5,avg_first_innings_score,avg_second_innings_score,avg_score_at_venue,win_pct,win_pct_vs_opponent,toss_win_bat_first_avg,toss_win_field_first_avg
335983,1,Chennai Super Kings,240,"Punjab Cricket Association Stadium, Mohali",2007/08,Punjab Kings,57.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
335989,1,Chennai Super Kings,208,"MA Chidambaram Stadium, Chepauk",2007/08,Mumbai Indians,52.0,50.0,240.0,57.0,71.0,240.0,240.0,0.0,240.0,0.5,0.5,240.0,240.0
335993,2,Chennai Super Kings,152,"MA Chidambaram Stadium, Chepauk",2007/08,Kolkata Knight Riders,50.0,13.0,224.0,54.5,60.5,224.0,240.0,0.0,224.0,0.5,0.5,224.0,224.0
335996,1,Chennai Super Kings,178,M Chinnaswamy Stadium,2007/08,Royal Challengers Bangalore,42.0,62.0,200.0,53.0,44.666666666666664,200.0,224.0,0.0,200.0,0.5,0.5,200.0,200.0
336001,1,Chennai Super Kings,169,"MA Chidambaram Stadium, Chepauk",2007/08,Delhi Capitals,50.0,42.0,194.5,50.25,49.0,194.5,208.66666666666666,0.0,194.5,0.5,0.5,194.5,194.5
336005,1,Chennai Super Kings,109,Sawai Mansingh Stadium,2007/08,Rajasthan Royals,40.0,13.0,189.4,50.2,47.6,189.4,198.75,0.0,189.4,0.5,0.5,189.4,189.4
336007,1,Chennai Super Kings,144,"MA Chidambaram Stadium, Chepauk",2007/08,Sunrisers Hyderabad,39.0,49.0,176.0,48.5,41.833333333333336,163.2,180.8,0.0,176.0,0.5,0.5,176.0,176.0
336009,2,Chennai Super Kings,188,Feroz Shah Kotla,2007/08,Delhi Capitals,62.0,40.0,171.42857142857142,47.142857142857146,42.857142857142854,150.4,180.8,152.0,171.42857142857142,0.5,0.5,171.42857142857142,171.42857142857142
336013,1,Chennai Super Kings,181,"MA Chidambaram Stadium, Chepauk",2007/08,Punjab Kings,52.0,32.0,173.5,49.0,42.5,157.6,174.66666666666666,152.0,173.5,0.5,0.5,173.5,173.5
336018,1,Chennai Super Kings,156,Wankhede Stadium,2007/08,Mumbai Indians,35.0,54.0,174.33333333333334,49.333333333333336,41.333333333333336,158.2,175.57142857142858,152.0,174.33333333333334,0.5,0.5,174.33333333333334,174.33333333333334
336025,2,Chennai Super Kings,55,Eden Gardens,2007/08,Kolkata Knight Riders,42.0,0.0,172.5,47.9,42.6,155.6,175.57142857142858,170.0,172.5,0.5,0.5,172.5,172.5
336029,2,Chennai Super Kings,112,"MA Chidambaram Stadium, Chepauk",2007/08,Royal Challengers Bangalore,48.0,19.0,161.8181818181818,47.36363636363637,38.72727272727273,144.8,175.57142857142858,131.66666666666666,161.8181818181818,0.5,0.5,161.8181818181818,161.8181818181818
336033,2,Chennai Super Kings,201,"MA Chidambaram Stadium, Chepauk",2007/08,Rajasthan Royals,66.0,36.0,157.66666666666666,47.416666666666664,37.083333333333336,138.4,175.57142857142858,126.75,157.66666666666666,0.5,0.5,157.66666666666666,157.66666666666666
336037,2,Chennai Super Kings,148,"Rajiv Gandhi International Stadium, Uppal",2007/08,Sunrisers Hyderabad,41.0,31.0,161.0,48.84615384615385,37.0,141.0,175.57142857142858,141.6,161.0,0.5,0.5,161.0,161.0
336039,2,Chennai Super Kings,116,Wankhede Stadium,2007/08,Punjab Kings,37.0,0.0,160.07142857142858,48.285714285714285,36.57142857142857,134.4,175.57142857142858,142.66666666666666,160.07142857142858,0.5,0.5,160.07142857142858,160.07142857142858
336040,1,Chennai Super Kings,163,Dr DY Patil Sports Academy,2007/08,Rajasthan Royals,45.0,36.0,157.13333333333333,47.53333333333333,34.13333333333333,126.4,173.125,142.66666666666666,157.13333333333333,0.5,0.5,157.13333333333333,157.13333333333333
392181,2,Chennai Super Kings,146,Newlands,2009,Mumbai Indians,53.0,32.0,157.5,47.375,34.25,148.0,173.125,138.85714285714286,157.5,0.5,0.5,157.5,157.5
392185,1,Chennai Super Kings,179,St George's Park,2009,Royal Challengers Bangalore,68.0,35.0,156.8235294117647,47.705882352941174,34.11764705882353,154.8,172.0,138.85714285714286,156.8235294117647,0.5,0.5,156.8235294117647,156.8235294117647
392189,2,Chennai Super Kings,180,Kingsmead,2009,Delhi Capitals,74.0,24.0,158.05555555555554,48.833333333333336,34.166666666666664,150.4,172.0,139.75,158.05555555555554,0.5,0.5,158.05555555555554,158.05555555555554
392196,1,Chennai Super Kings,165,Kingsmead,2009,Sunrisers Hyderabad,63.0,45.0,159.21052631578948,50.1578947368421,33.63157894736842,156.8,172.7,139.75,159.21052631578948,0.5,0.5,159.21052631578948,159.21052631578948
392202,1,Chennai Super Kings,164,SuperSport Park,2009,Rajasthan Royals,43.0,56.0,159.5,50.8,34.2,166.6,172.0,139.75,159.5,0.5,0.5,159.5,159.5
392206,1,Chennai Super Kings,163,New Wanderers Stadium,2009,Delhi Capitals,48.0,25.0,159.71428571428572,50.42857142857143,35.23809523809524,166.8,171.33333333333334,139.75,159.71428571428572,0.5,0.5,159.71428571428572,159.71428571428572
392209,1,Chennai Super Kings,178,Buffalo Park,2009,Sunrisers Hyderabad,51.0,41.0,159.86363636363637,50.31818181818182,34.77272727272727,170.2,170.69230769230768,139.75,159.86363636363637,0.5,0.5,159.86363636363637,159.86363636363637
392214,1,Chennai Super Kings,185,SuperSport Park,2009,Punjab Kings,57.0,31.0,160.65217391304347,50.34782608695652,35.04347826086956,170.0,171.21428571428572,139.75,160.65217391304347,0.5,0.5,160.65217391304347,160.65217391304347
392217,2,Chennai Super Kings,141,De Beers Diamond Oval,2009,Rajasthan Royals,31.0,24.0,161.66666666666666,50.625,34.875,171.0,171.21428571428572,144.22222222222223,161.66666666666666,0.5,0.5,161.66666666666666,161.66666666666666
392224,1,Chennai Super Kings,129,Kingsmead,2009,Royal Challengers Bangalore,50.0,22.0,160.84,49.84,34.44,166.2,172.13333333333333,144.22222222222223,160.84,0.5,0.5,160.84,160.84
392227,2,Chennai Super Kings,151,St George's Park,2009,Mumbai Indians,35.0,41.0,159.6153846153846,49.84615384615385,33.96153846153846,159.2,172.13333333333333,143.9,159.6153846153846,0.5,0.5,159.6153846153846,159.6153846153846
392231,1,Chennai Super Kings,188,SuperSport Park,2009,Kolkata Knight Riders,62.0,48.0,159.2962962962963,49.2962962962963,34.22222222222222,156.8,169.4375,143.9,159.2962962962963,0.5,0.5,159.2962962962963,159.2962962962963
392234,1,Chennai Super Kings,116,Kingsmead,2009,Punjab Kings,48.0,16.0,160.32142857142858,49.75,34.714285714285715,158.8,170.52941176470588,143.9,160.32142857142858,0.5,0.5,160.32142857142858,160.32142857142858
392238,1,Chennai Super Kings,146,New Wanderers Stadium,2009,Royal Challengers Bangalore,59.0,32.0,158.79310344827587,49.689655172413794,34.06896551724138,145.0,167.5,143.9,158.79310344827587,0.5,0.5,158.79310344827587,158.79310344827587
419110,2,Chennai Super Kings,159,"MA Chidambaram Stadium, Chepauk",2009/10,Sunrisers Hyderabad,46.0,41.0,158.36666666666667,50.0,34.0,146.0,167.5,144.54545454545453,158.36666666666667,0.5,0.5,158.36666666666667,158.36666666666667
419113,1,Chennai Super Kings,164,Eden Gardens,2009/10,Kolkata Knight Riders,40.0,61.0,158.38709677419354,49.87096774193548,34.225806451612904,152.0,166.3684210526316,144.54545454545453,158.38709677419354,0.5,0.5,158.38709677419354,158.38709677419354
419116,2,Chennai Super Kings,190,Feroz Shah Kotla,2009/10,Delhi Capitals,60.0,34.0,158.5625,49.5625,35.0625,154.6,166.3684210526316,145.75,158.5625,0.5,0.5,158.5625,158.5625
419121,2,Chennai Super Kings,136,"MA Chidambaram Stadium, Chepauk",2009/10,Punjab Kings,45.0,24.0,159.5151515151515,49.878787878787875,35.03030303030303,155.0,166.3684210526316,149.15384615384616,159.5151515151515,0.5,0.5,159.5151515151515,159.5151515151515
419121,3,Chennai Super Kings,9,"MA Chidambaram Stadium, Chepauk",2009/10,Punjab Kings,0.0,0.0,158.8235294117647,49.73529411764706,34.705882352941174,159.0,166.3684210526316,149.15384615384616,158.8235294117647,0.5,0.5,158.8235294117647,158.8235294117647
419123,2,Chennai Super Kings,135,M Chinnaswamy Stadium,2009/10,Royal Challengers Bangalore,31.0,28.0,154.54285714285714,48.31428571428572,33.714285714285715,131.6,166.3684210526316,148.21428571428572,154.54285714285714,0.5,0.5,154.54285714285714,154.54285714285714
419125,1,Chennai Super Kings,180,"Brabourne Stadium, Mumbai",2009/10,Mumbai Indians,50.0,44.0,154.0,47.833333333333336,33.55555555555556,126.8,166.25,148.21428571428572,154.0,0.5,0.5,154.0,154.0
419129,2,Chennai Super Kings,160,"Sardar Patel Stadium, Motera",2009/10,Rajasthan Royals,64.0,35.0,154.7027027027027,47.891891891891895,33.83783783783784,130.0,166.25,147.33333333333334,154.7027027027027,0.5,0.5,154.7027027027027,154.7027027027027
419133,2,Chennai Super Kings,162,"MA Chidambaram Stadium, Chepauk",2009/10,Royal Challengers Bangalore,55.0,26.0,154.8421052631579,48.31578947368421,33.86842105263158,124.0,166.25,148.125,154.8421052631579,0.5,0.5,154.8421052631579,154.8421052631579
